Row,Stage,Week,Solution,Replication,Height,Greenness,Surface,Roots,Organs
61,Stage 1,Week 1,Solution 5,Replication 5,1.16,4,13.15,1,1
62,Stage 1,Week 1,Solution 5,Replication 6,1.45,4,14.50,1,2
63,Stage 1,Week 1,Solution 5,Replication 7,1.67,3,14.49,1,1
64,Stage 1,Week 1,Solution 5,Replication 8,1.30,4,11.38,1,2
65,Stage 1,Week 1,Solution 5,Replication 9,1.86,4,11.75,2,2
66,Stage 1,Week 1,Solution 5,Replication 10,1.13,4,10.29,2,2
67,Stage 1,Week 1,Solution 5,Replication 11,1.14,4,11.48,2,1
68,Stage 1,Week 1,Solution 5,Replication 12,1.87,3,13.74,1,1
69,Stage 1,Week 1,Solution 5,Replication 13,1.68,4,14.53,2,1
70,Stage 1,Week 1,Solution 5,Replication 14,1.88,3,12.73,1,2
71,Stage 1,Week 1,Solution 6,Replication 1,1.16,2,10.21,2,1
72,Stage 1,Week 1,Solution 6,Replication 2,1.31,3,10.81,1,1
73,Stage 1,Week 1,Solution 6,Replication 3,1.44,3,11.52,2,1
74,Stage 1,Week 1,Solution 6,Replication 4,1.24,2,14.30,2,1
75,Stage 1,Week 1,Solution 6,Replication 5,1.49,2,12.82,1,1
76,Stage 1,Week 1,Solution 6,Replication 6,1.61,3,12.07,2,2
77,Stage 1,Week 1,Solution 6,Replication 7,1.03,3,10.12,2,1
78,Stage 1,Week 1,Solution 6,Replication 8,1.30,2,11.60,1,1
79,Stage 1,Week 1,Solution 6,Replication 9,1.63,3,12.56,1,2
80,Stage 1,Week 1,Solution 6,Replication 10,1.27,2,11.46,1,1
81,Stage 1,Week 1,Solution 6,Replication 11,1.13,3,13.01,1,1
82,Stage 1,Week 1,Solution 6,Replication 12,1.30,2,11.30,2,1
83,Stage 1,Week 1,Solution 6,Replication 13,1.66,3,11.20,2,2
84,Stage 1,Week 1,Solution 6,Replication 14,1.41,2,10.66,2,2
85,Stage 1,Week 1,Solution 7,Replication 1,1.97,3,10.40,2,2
86,Stage 1,Week 1,Solution 7,Replication 2,1.29,2,13.38,2,2
87,Stage 1,Week 1,Solution 7,Replication 3,1.71,2,12.45,1,1
88,Stage 1,Week 1,Solution 7,Replication 4,1.26,3,12.67,2,1
89,Stage 1,Week 1,Solution 7,Replication 5,1.50,2,11.44,2,2
90,Stage 1,Week 1,Solution 7,Replication 6,1.82,3,13.35,1,2
91,Stage 1,Week 1,Solution 7,Replication 7,1.78,3,13.66,1,1
92,Stage 1,Week 1,Solution 7,Replication 8,1.97,3,12.79,1,1
93,Stage 1,Week 1,Solution 7,Replication 9,1.88,2,10.33,2,2
94,Stage 1,Week 1,Solution 7,Replication 10,1.32,3,10.55,2,2
95,Stage 1,Week 1,Solution 7,Replication 11,1.34,2,10.33,1,1
96,Stage 1,Week 1,Solution 7,Replication 12,1.26,2,11.72,1,1
97,Stage 1,Week 1,Solution 7,Replication 13,1.08,2,14.19,1,1
98,Stage 1,Week 1,Solution 7,Replication 14,1.15,2,11.65,1,2
99,Stage 1,Week 1,Solution 8,Replication 1,2.26,5,19.59,1,2
100,Stage 1,Week 1,Solution 8,Replication 2,2.92,5,18.51,1,2
101,Stage 1,Week 1,Solution 8,Replication 3,2.86,5,16.68,2,1
102,Stage 1,Week 1,Solution 8,Replication 4,2.55,4,18.23,2,2
103,Stage 1,Week 1,Solution 8,Replication 5,2.60,5,17.91,1,1
104,Stage 1,Week 1,Solution 8,Replication 6,2.48,4,16.08,1,1
105,Stage 1,Week 1,Solution 8,Replication 7,2.66,4,17.12,1,2
106,Stage 1,Week 1,Solution 8,Replication 8,2.84,4,19.17,1,2
107,Stage 1,Week 1,Solution 8,Replication 9,2.00,4,18.95,2,2
108,Stage 1,Week 1,Solution 8,Replication 10,2.54,5,17.93,1,2
109,Stage 1,Week 1,Solution 8,Replication 11,2.33,4,15.90,2,2
110,Stage 1,Week 1,Solution 8,Replication 12,2.65,5,15.83,2,2
111,Stage 1,Week 1,Solution 8,Replication 13,2.64,5,16.22,2,2
112,Stage 1,Week 1,Solution 8,Replication 14,2.01,5,17.48,1,1
113,Stage 1,Week 1,Solution 9,Replication 1,2.59,5,16.03,1,2
114,Stage 1,Week 1,Solution 9,Replication 2,2.24,4,15.77,1,1
115,Stage 1,Week 1,Solution 9,Replication 3,2.38,4,18.08,1,1
116,Stage 1,Week 1,Solution 9,Replication 4,2.53,5,18.13,1,1
117,Stage 1,Week 1,Solution 9,Replication 5,2.47,5,18.26,2,2
118,Stage 1,Week 1,Solution 9,Replication 6,2.16,5,17.41,2,2
119,Stage 1,Week 1,Solution 9,Replication 7,2.90,5,15.54,2,2
120,Stage 1,Week 1,Solution 9,Replication 8,2.18,5,19.06,2,1
121,Stage 1,Week 1,Solution 9,Replication 9,2.56,5,18.71,2,1
122,Stage 1,Week 1,Solution 9,Replication 10,2.07,5,18.10,2,1
123,Stage 1,Week 1,Solution 9,Replication 11,2.77,4,16.86,2,1
124,Stage 1,Week 1,Solution 9,Replication 12,2.38,4,15.59,2,1
125,Stage 1,Week 1,Solution 9,Replication 13,2.88,4,17.54,2,1
126,Stage 1,Week 1,Solution 9,Replication 14,2.79,4,16.52,2,1
127,Stage 1,Week 1,Solution 10,Replication 1,1.28,3,12.50,1,2
128,Stage 1,Week 1,Solution 10,Replication 2,1.96,4,14.52,2,1
129,Stage 1,Week 1,Solution 10,Replication 3,1.92,4,12.48,1,2
130,Stage 1,Week 1,Solution 10,Replication 4,1.34,4,10.76,1,2
131,Stage 1,Week 1,Solution 10,Replication 5,1.83,3,13.81,1,2
132,Stage 1,Week 1,Solution 10,Replication 6,1.76,4,10.63,1,1
133,Stage 1,Week 1,Solution 10,Replication 7,1.46,3,11.88,1,1
134,Stage 1,Week 1,Solution 10,Replication 8,1.37,3,14.65,2,2
135,Stage 1,Week 1,Solution 10,Replication 9,1.08,4,12.35,1,2
136,Stage 1,Week 1,Solution 10,Replication 10,1.63,3,10.88,2,2
137,Stage 1,Week 1,Solution 10,Replication 11,1.62,4,13.12,2,2
138,Stage 1,Week 1,Solution 10,Replication 12,1.77,3,13.68,2,2
139,Stage 1,Week 1,Solution 10,Replication 13,1.89,3,12.06,1,1
140,Stage 1,Week 1,Solution 10,Replication 14,1.54,4,10.48,2,2
141,Stage 1,Week 1,Solution 11,Replication 1,2.86,5,15.46,1,1
142,Stage 1,Week 1,Solution 11,Replication 2,2.10,5,17.30,2,1
143,Stage 1,Week 1,Solution 11,Replication 3,2.56,5,16.79,1,1
144,Stage 1,Week 1,Solution 11,Replication 4,2.60,4,18.34,2,2
145,Stage 1,Week 1,Solution 11,Replication 5,2.48,4,15.77,2,2
146,Stage 1,Week 1,Solution 11,Replication 6,2.12,5,17.70,2,1
147,Stage 1,Week 1,Solution 11,Replication 7,2.31,5,15.81,1,1
148,Stage 1,Week 1,Solution 11,Replication 8,2.04,4,15.48,1,1
149,Stage 1,Week 1,Solution 11,Replication 9,2.61,4,19.62,2,2
150,Stage 1,Week 1,Solution 11,Replication 10,2.62,4,16.50,1,1
151,Stage 1,Week 1,Solution 11,Replication 11,2.61,5,19.92,2,2
152,Stage 1,Week 1,Solution 11,Replication 12,2.24,4,16.76,1,2
153,Stage 1,Week 1,Solution 11,Replication 13,2.45,4,15.43,1,2
154,Stage 1,Week 1,Solution 11,Replication 14,2.76,5,18.44,1,2
155,Stage 1,Week 1,Solution 12,Replication 1,2.27,5,15.25,1,2
156,Stage 1,Week 1,Solution 12,Replication 2,2.01,4,15.38,2,1
157,Stage 1,Week 1,Solution 12,Replication 3,2.56,4,17.83,2,1
158,Stage 1,Week 1,Solution 12,Replication 4,2.31,5,17.50,1,2
159,Stage 1,Week 1,Solution 12,Replication 5,2.72,4,16.03,2,1
160,Stage 1,Week 1,Solution 12,Replication 6,2.98,4,19.77,2,2
161,Stage 1,Week 1,Solution 12,Replication 7,2.67,5,19.66,1,1
162,Stage 1,Week 1,Solution 12,Replication 8,2.02,4,18.89,1,2
163,Stage 1,Week 1,Solution 12,Replication 9,2.82,4,19.63,1,2
164,Stage 1,Week 1,Solution 12,Replication 10,2.17,5,15.16,2,1
165,Stage 1,Week 1,Solution 12,Replication 11,2.77,4,19.31,1,2
166,Stage 1,Week 1,Solution 12,Replication 12,2.68,4,19.28,1,2
167,Stage 1,Week 1,Solution 12,Replication 13,2.38,4,15.91,1,1
168,Stage 1,Week 1,Solution 12,Replication 14,2.19,5,18.77,1,2
169,Stage 1,Week 1,Solution 13,Replication 1,1.09,3,13.24,1,2
170,Stage 1,Week 1,Solution 13,Replication 2,1.10,3,11.52,2,2
171,Stage 1,Week 1,Solution 13,Replication 3,1.18,3,13.79,2,1
172,Stage 1,Week 1,Solution 13,Replication 4,1.99,2,13.49,2,1
173,Stage 1,Week 1,Solution 13,Replication 5,1.32,2,13.22,2,1
174,Stage 1,Week 1,Solution 13,Replication 6,1.19,3,12.14,2,2
175,Stage 1,Week 1,Solution 13,Replication 7,1.01,3,10.28,2,1
176,Stage 1,Week 1,Solution 13,Replication 8,1.78,3,10.35,1,1
177,Stage 1,Week 1,Solution 13,Replication 9,1.80,3,11.69,2,1
178,Stage 1,Week 1,Solution 13,Replication 10,1.57,2,10.45,1,1
179,Stage 1,Week 1,Solution 13,Replication 11,1.21,2,12.77,2,1
180,Stage 1,Week 1,Solution 13,Replication 12,1.34,2,14.11,1,1
181,Stage 1,Week 1,Solution 13,Replication 13,1.04,3,10.83,2,1
182,Stage 1,Week 1,Solution 13,Replication 14,1.58,3,12.65,1,1
183,Stage 1,Week 1,Solution 14,Replication 1,1.34,3,11.86,2,1
184,Stage 1,Week 1,Solution 14,Replication 2,1.94,3,11.85,2,1
185,Stage 1,Week 1,Solution 14,Replication 3,1.75,2,12.42,2,1
186,Stage 1,Week 1,Solution 14,Replication 4,1.23,3,12.34,2,2
187,Stage 1,Week 1,Solution 14,Replication 5,1.64,3,10.08,2,1
188,Stage 1,Week 1,Solution 14,Replication 6,1.02,3,13.14,1,2
189,Stage 1,Week 1,Solution 14,Replication 7,1.75,2,14.30,2,2
190,Stage 1,Week 1,Solution 14,Replication 8,1.54,3,13.19,2,1
191,Stage 1,Week 1,Solution 14,Replication 9,1.87,3,12.55,2,1
192,Stage 1,Week 1,Solution 14,Replication 10,1.09,2,12.66,1,1
193,Stage 1,Week 1,Solution 14,Replication 11,1.92,2,12.06,2,2
194,Stage 1,Week 1,Solution 14,Replication 12,1.22,3,10.47,2,2
195,Stage 1,Week 1,Solution 14,Replication 13,1.18,3,10.94,2,1
196,Stage 1,Week 1,Solution 14,Replication 14,1.35,3,11.64,1,1
197,Stage 1,Week 1,Solution 15,Replication 1,2.44,4,18.62,2,1
198,Stage 1,Week 1,Solution 15,Replication 2,2.23,5,19.86,2,2
199,Stage 1,Week 1,Solution 15,Replication 3,2.12,5,17.25,1,2
200,Stage 1,Week 1,Solution 15,Replication 4,2.84,4,17.88,2,2
201,Stage 1,Week 1,Solution 15,Replication 5,2.91,4,19.24,1,2
202,Stage 1,Week 1,Solution 15,Replication 6,2.10,4,15.01,2,1
203,Stage 1,Week 1,Solution 15,Replication 7,2.68,5,17.54,1,1
204,Stage 1,Week 1,Solution 15,Replication 8,2.80,5,19.29,1,2
205,Stage 1,Week 1,Solution 15,Replication 9,2.24,4,19.99,1,2
206,Stage 1,Week 1,Solution 15,Replication 10,2.26,4,19.23,1,1
207,Stage 1,Week 1,Solution 15,Replication 11,2.62,5,15.36,1,2
208,Stage 1,Week 1,Solution 15,Replication 12,2.89,4,19.04,2,1
209,Stage 1,Week 1,Solution 15,Replication 13,2.66,5,18.25,2,1
210,Stage 1,Week 1,Solution 15,Replication 14,2.70,4,17.72,1,1
211,Stage 1,Week 1,Solution 16,Replication 1,1.71,4,10.35,1,1
212,Stage 1,Week 1,Solution 16,Replication 2,1.93,3,10.54,2,2
213,Stage 1,Week 1,Solution 16,Replication 3,1.89,4,10.68,1,1
214,Stage 1,Week 1,Solution 16,Replication 4,1.94,3,12.87,2,1
215,Stage 1,Week 1,Solution 16,Replication 5,1.22,3,11.88,2,1
216,Stage 1,Week 1,Solution 16,Replication 6,1.40,4,11.21,2,2
217,Stage 1,Week 1,Solution 16,Replication 7,1.94,4,13.14,1,2
218,Stage 1,Week 1,Solution 16,Replication 8,1.82,4,12.14,2,2
219,Stage 1,Week 1,Solution 16,Replication 9,1.47,4,10.05,1,1
220,Stage 1,Week 1,Solution 16,Replication 10,1.17,4,13.00,1,2
221,Stage 1,Week 1,Solution 16,Replication 11,1.47,3,14.67,2,1
222,Stage 1,Week 1,Solution 16,Replication 12,1.80,4,12.99,1,2
223,Stage 1,Week 1,Solution 16,Replication 13,1.46,3,13.62,1,2
224,Stage 1,Week 1,Solution 16,Replication 14,1.95,4,13.55,2,2
225,Stage 1,Week 1,Solution 17,Replication 1,2.08,5,16.19,2,2
226,Stage 1,Week 1,Solution 17,Replication 2,2.85,4,18.82,2,2
227,Stage 1,Week 1,Solution 17,Replication 3,2.87,5,18.51,1,1
228,Stage 1,Week 1,Solution 17,Replication 4,2.10,5,19.63,2,1
229,Stage 1,Week 1,Solution 17,Replication 5,2.04,5,15.24,1,1
230,Stage 1,Week 1,Solution 17,Replication 6,2.18,5,15.68,2,1
231,Stage 1,Week 1,Solution 17,Replication 7,2.83,4,15.54,1,1
232,Stage 1,Week 1,Solution 17,Replication 8,2.07,5,16.80,1,2
233,Stage 1,Week 1,Solution 17,Replication 9,2.16,5,18.26,1,2
234,Stage 1,Week 1,Solution 17,Replication 10,2.82,5,18.93,2,1
235,Stage 1,Week 1,Solution 17,Replication 11,2.96,4,17.81,2,2
236,Stage 1,Week 1,Solution 17,Replication 12,2.16,4,15.03,1,1
237,Stage 1,Week 1,Solution 17,Replication 13,2.64,4,15.61,2,2
238,Stage 1,Week 1,Solution 17,Replication 14,2.05,4,18.24,1,1
239,Stage 1,Week 1,Solution 18,Replication 1,1.89,4,14.08,2,2
240,Stage 1,Week 1,Solution 18,Replication 2,1.84,3,12.94,1,2
241,Stage 1,Week 1,Solution 18,Replication 3,1.40,3,13.49,2,1
242,Stage 1,Week 1,Solution 18,Replication 4,1.71,3,14.03,2,2
243,Stage 1,Week 1,Solution 18,Replication 5,1.66,3,14.52,2,2
244,Stage 1,Week 1,Solution 18,Replication 6,1.95,4,11.09,2,2
245,Stage 1,Week 1,Solution 18,Replication 7,1.59,3,14.19,2,1
246,Stage 1,Week 1,Solution 18,Replication 8,1.20,4,11.74,2,2
247,Stage 1,Week 1,Solution 18,Replication 9,1.50,3,11.01,1,2
248,Stage 1,Week 1,Solution 18,Replication 10,1.13,3,14.98,1,1
249,Stage 1,Week 1,Solution 18,Replication 11,1.31,3,11.71,2,1
250,Stage 1,Week 1,Solution 18,Replication 12,1.75,3,14.02,2,1
251,Stage 1,Week 1,Solution 18,Replication 13,1.85,3,12.56,1,1
252,Stage 1,Week 1,Solution 18,Replication 14,1.07,3,12.14,1,1
253,Stage 1,Week 1,Solution 19,Replication 1,2.14,4,19.75,2,2
254,Stage 1,Week 1,Solution 19,Replication 2,2.21,4,19.86,2,2
255,Stage 1,Week 1,Solution 19,Replication 3,2.12,4,18.73,2,2
256,Stage 1,Week 1,Solution 19,Replication 4,2.75,4,17.98,1,1
257,Stage 1,Week 1,Solution 19,Replication 5,2.45,5,17.61,1,2
258,Stage 1,Week 1,Solution 19,Replication 6,2.03,4,19.26,1,2
259,Stage 1,Week 1,Solution 19,Replication 7,2.33,4,18.44,2,2
260,Stage 1,Week 1,Solution 19,Replication 8,2.54,4,17.44,1,2
261,Stage 1,Week 1,Solution 19,Replication 9,2.67,4,15.69,2,1
262,Stage 1,Week 1,Solution 19,Replication 10,2.93,4,18.10,2,2
263,Stage 1,Week 1,Solution 19,Replication 11,2.58,5,18.30,2,2
264,Stage 1,Week 1,Solution 19,Replication 12,2.92,5,17.30,2,2
265,Stage 1,Week 1,Solution 19,Replication 13,2.83,5,18.23,1,1
266,Stage 1,Week 1,Solution 19,Replication 14,2.54,5,17.90,2,1
267,Stage 1,Week 1,Solution 20,Replication 1,2.18,4,19.09,2,1
268,Stage 1,Week 1,Solution 20,Replication 2,2.80,4,19.38,2,1
269,Stage 1,Week 1,Solution 20,Replication 3,2.62,5,19.05,2,2
270,Stage 1,Week 1,Solution 20,Replication 4,2.12,5,18.80,1,2
271,Stage 1,Week 1,Solution 20,Replication 5,2.74,5,18.96,1,2
272,Stage 1,Week 1,Solution 20,Replication 6,2.85,4,19.79,1,1
273,Stage 1,Week 1,Solution 20,Replication 7,2.92,5,17.36,2,1
274,Stage 1,Week 1,Solution 20,Replication 8,2.69,5,18.24,2,1
275,Stage 1,Week 1,Solution 20,Replication 9,2.70,5,19.72,1,2
276,Stage 1,Week 1,Solution 20,Replication 10,2.55,5,16.17,2,2
277,Stage 1,Week 1,Solution 20,Replication 11,2.72,4,16.00,1,1
278,Stage 1,Week 1,Solution 20,Replication 12,2.71,4,18.81,1,1
279,Stage 1,Week 1,Solution 20,Replication 13,2.45,5,19.38,2,1
280,Stage 1,Week 1,Solution 20,Replication 14,2.94,4,18.89,1,2
281,Stage 1,Week 1,Control,Replication 1,2.04,4,17.49,2,1
282,Stage 1,Week 1,Control,Replication 2,2.01,5,16.23,2,2
283,Stage 1,Week 1,Control,Replication 3,2.93,5,16.97,2,1
284,Stage 1,Week 1,Control,Replication 4,2.87,4,15.13,1,1
285,Stage 1,Week 1,Control,Replication 5,2.37,5,16.14,2,1
286,Stage 1,Week 1,Control,Replication 6,2.63,5,15.68,1,1
287,Stage 1,Week 1,Control,Replication 7,2.77,5,17.43,1,2
288,Stage 1,Week 1,Control,Replication 8,2.72,4,16.60,2,2
289,Stage 1,Week 1,Control,Replication 9,2.74,5,17.30,1,2
290,Stage 1,Week 1,Control,Replication 10,2.00,4,19.84,2,2
291,Stage 1,Week 1,Control,Replication 11,2.30,4,16.58,1,2
292,Stage 1,Week 1,Control,Replication 12,2.60,5,16.14,1,1
293,Stage 1,Week 1,Control,Replication 13,2.64,5,15.39,2,2
294,Stage 1,Week 1,Control,Replication 14,2.85,5,16.93,2,1
295,Stage 1,Week 2,Solution 1,Replication 1,4.56,4,21.25,2,3
296,Stage 1,Week 2,Solution 1,Replication 2,4.28,5,24.16,3,3
297,Stage 1,Week 2,Solution 1,Replication 3,5.34,4,22.12,3,3
298,Stage 1,Week 2,Solution 1,Replication 4,5.42,4,23.76,3,2
299,Stage 1,Week 2,Solution 1,Replication 5,4.36,4,24.81,3,3
300,Stage 1,Week 2,Solution 1,Replication 6,4.71,4,23.48,3,3
301,Stage 1,Week 2,Solution 1,Replication 7,5.27,5,21.06,3,3
302,Stage 1,Week 2,Solution 1,Replication 8,4.77,4,24.97,3,2
303,Stage 1,Week 2,Solution 1,Replication 9,5.75,5,23.20,3,3
304,Stage 1,Week 2,Solution 1,Replication 10,4.83,5,21.81,2,2
305,Stage 1,Week 2,Solution 1,Replication 11,4.10,5,24.47,2,3
306,Stage 1,Week 2,Solution 1,Replication 12,5.38,4,20.48,2,3
307,Stage 1,Week 2,Solution 1,Replication 13,4.10,4,20.35,3,2
308,Stage 1,Week 2,Solution 1,Replication 14,5.83,5,24.06,2,2
309,Stage 1,Week 2,Solution 2,Replication 1,4.52,2,17.13,1,2
310,Stage 1,Week 2,Solution 2,Replication 2,4.80,2,13.90,2,1
311,Stage 1,Week 2,Solution 2,Replication 3,4.85,3,11.60,1,2
312,Stage 1,Week 2,Solution 2,Replication 4,4.02,3,10.83,2,1
313,Stage 1,Week 2,Solution 2,Replication 5,4.48,2,12.53,2,2
314,Stage 1,Week 2,Solution 2,Replication 6,4.39,2,13.01,1,1
315,Stage 1,Week 2,Solution 2,Replication 7,4.74,3,17.76,1,1
316,Stage 1,Week 2,Solution 2,Replication 8,4.47,3,13.68,1,1
317,Stage 1,Week 2,Solution 2,Replication 9,4.51,3,14.37,1,2
318,Stage 1,Week 2,Solution 2,Replication 10,4.53,3,17.44,2,2
319,Stage 1,Week 2,Solution 2,Replication 11,4.85,2,11.95,1,2
320,Stage 1,Week 2,Solution 2,Replication 12,4.18,3,13.14,1,1
321,Stage 1,Week 2,Solution 2,Replication 13,4.89,2,12.67,2,1
322,Stage 1,Week 2,Solution 2,Replication 14,4.88,3,19.26,1,2
323,Stage 1,Week 2,Solution 3,Replication 1,2.92,3,17.17,1,1
324,Stage 1,Week 2,Solution 3,Replication 2,2.70,3,16.83,2,2
325,Stage 1,Week 2,Solution 3,Replication 3,2.31,3,18.36,2,1
326,Stage 1,Week 2,Solution 3,Replication 4,2.13,3,19.64,2,2
327,Stage 1,Week 2,Solution 3,Replication 5,2.84,3,15.70,2,1
328,Stage 1,Week 2,Solution 3,Replication 6,2.29,3,15.28,1,2
329,Stage 1,Week 2,Solution 3,Replication 7,2.32,3,15.41,1,1
330,Stage 1,Week 2,Solution 3,Replication 8,2.40,3,18.18,1,1
331,Stage 1,Week 2,Solution 3,Replication 9,2.39,3,17.69,1,2
332,Stage 1,Week 2,Solution 3,Replication 10,2.85,4,17.76,1,2
333,Stage 1,Week 2,Solution 3,Replication 11,2.69,3,16.18,1,1
334,Stage 1,Week 2,Solution 3,Replication 12,2.71,3,16.66,2,1
335,Stage 1,Week 2,Solution 3,Replication 13,2.66,4,19.50,1,1
336,Stage 1,Week 2,Solution 3,Replication 14,2.83,3,16.74,2,1
337,Stage 1,Week 2,Solution 4,Replication 1,5.58,4,21.60,2,2
338,Stage 1,Week 2,Solution 4,Replication 2,5.26,4,20.35,2,3
339,Stage 1,Week 2,Solution 4,Replication 3,4.24,4,22.36,2,3
340,Stage 1,Week 2,Solution 4,Replication 4,5.91,5,24.46,3,3
341,Stage 1,Week 2,Solution 4,Replication 5,5.34,5,24.45,3,3
342,Stage 1,Week 2,Solution 4,Replication 6,5.86,5,21.66,3,3
343,Stage 1,Week 2,Solution 4,Replication 7,5.13,5,21.19,3,2
344,Stage 1,Week 2,Solution 4,Replication 8,5.91,5,24.00,2,2
345,Stage 1,Week 2,Solution 4,Replication 9,5.28,5,22.72,3,2
346,Stage 1,Week 2,Solution 4,Replication 10,5.98,5,22.74,3,2
347,Stage 1,Week 2,Solution 4,Replication 11,5.83,5,21.20,2,2
348,Stage 1,Week 2,Solution 4,Replication 12,5.21,4,20.99,2,3
349,Stage 1,Week 2,Solution 4,Replication 13,5.61,5,23.39,3,2
350,Stage 1,Week 2,Solution 4,Replication 14,5.64,5,24.53,2,2
351,Stage 1,Week 2,Solution 5,Replication 1,2.95,4,19.44,2,1
352,Stage 1,Week 2,Solution 5,Replication 2,2.09,3,15.28,2,2
353,Stage 1,Week 2,Solution 5,Replication 3,2.76,3,15.27,2,2
354,Stage 1,Week 2,Solution 5,Replication 4,2.22,3,18.49,1,1
355,Stage 1,Week 2,Solution 5,Replication 5,2.25,3,18.70,2,1
356,Stage 1,Week 2,Solution 5,Replication 6,2.26,4,17.04,1,1
357,Stage 1,Week 2,Solution 5,Replication 7,2.30,3,15.18,1,2
358,Stage 1,Week 2,Solution 5,Replication 8,2.16,3,17.38,1,1
